station,date_time,longitude,latitude,depth(m),depth(text),전체수심(m),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-06,2020-06-18 09:05:00,129.7967,36.0767,150,,700.0,34.0624,2.8889,8.2463,,,,,9.2
102-06,2020-06-18 09:05:00,129.7967,36.0767,200,,700.0,34.0292,1.6407,8.7054,,,,,9.2
102-06,2020-06-18 09:05:00,129.7967,36.0767,250,,700.0,34.0293,1.1108,8.3351,,,,,9.2
102-06,2020-06-18 09:05:00,129.7967,36.0767,300,,700.0,34.0396,0.9595,7.4286,,,,,9.2
102-06,2020-06-18 09:05:00,129.7967,36.0767,400,,700.0,34.0524,0.7765,6.1056,,,,,9.2
102-06,2020-06-18 09:05:00,129.7967,36.0767,500,,700.0,34.0604,0.6409,5.5699,,,,,9.2
102-06,2020-08-29 13:00:00,129.7967,36.0767,0,,700.0,32.9352,23.5446,7.9632,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,10,,700.0,33.6617,21.9289,8.7956,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,20,,700.0,34.0581,16.2946,9.0419,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,30,,700.0,34.3429,16.2418,9.3281,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,50,,700.0,34.2877,12.9417,11.2948,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,75,,700.0,34.129,8.0945,12.984,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,100,,700.0,34.0416,4.6208,12.211,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,125,,700.0,34.0242,2.4293,12.7956,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,150,,700.0,34.0151,1.736,13.6502,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,200,,700.0,34.0234,1.0525,13.4994,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,250,,700.0,34.0271,0.9649,13.2613,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,300,,700.0,34.0294,0.8938,13.1975,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,400,,700.0,34.0378,0.7761,13.8515,,,,,11.0
102-06,2020-08-29 13:00:00,129.7967,36.0767,500,,700.0,34.0448,0.6644,13.2348,,,,,11.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,0,,700.0,32.3253,20.1169,5.2543,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,10,,700.0,32.3326,20.0898,5.2237,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,20,,700.0,32.6852,20.3072,5.2655,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,30,,700.0,33.8946,17.5548,3.3722,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,50,,700.0,34.4229,15.4379,3.3583,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,75,,700.0,34.1705,8.5971,4.4012,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,100,,700.0,34.0788,4.5054,4.9714,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,125,,700.0,34.0221,2.4758,5.5818,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,150,,700.0,34.0297,1.6678,5.7667,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,200,,700.0,34.0399,1.2127,5.81,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,250,,700.0,34.0483,0.9844,5.6562,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,300,,700.0,34.0531,0.8845,5.567,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,400,,700.0,34.0617,0.7423,5.2145,,,,,9.0
102-06,2020-10-28 14:03:00,129.7967,36.0767,500,,700.0,34.0682,0.6512,4.9185,,,,,9.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,0,,700.0,34.0121,16.2159,4.9734,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,10,,700.0,34.013,16.2165,4.9851,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,20,,700.0,34.015,16.2271,4.9895,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,30,,700.0,34.0131,16.2201,4.9641,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,50,,700.0,34.0139,16.2158,4.9572,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,75,,700.0,34.4675,14.323,3.3242,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,100,,700.0,34.0392,3.855,5.2201,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,125,,700.0,34.0181,2.9445,5.2289,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,150,,700.0,34.0488,2.3562,5.3197,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,200,,700.0,34.0342,1.2365,5.4864,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,250,,700.0,34.044,0.8895,5.2506,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,300,,700.0,34.0484,0.8258,5.195,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,400,,700.0,34.0532,0.7574,4.9976,,,,,13.0
102-06,2020-12-10 13:20:00,129.7967,36.0767,500,,700.0,34.0579,0.6821,4.8047,,,,,13.0
102-07,2020-02-21 11:53:00,130.0,36.0767,0,,1390.0,34.2438,12.2533,7.0637,7.32744,0.180714,0.258364,4.77783,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,10,,1390.0,34.2442,12.2491,7.1193,,,,,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,20,,1390.0,34.2427,12.2319,7.119,7.38171,0.175138,0.266505,4.93053,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,30,,1390.0,34.2091,12.0522,7.0875,,,,,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,50,,1390.0,34.1598,11.8195,7.0432,7.50566,0.138362,0.308545,5.76243,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,75,,1390.0,34.2023,11.8098,6.9693,,,,,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,100,,1390.0,34.087,9.392,6.9387,9.92107,0.004186,0.503886,8.66267,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,125,,1390.0,34.1971,7.2152,6.8601,,,,,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,150,,1390.0,34.1104,4.8748,7.3989,,,,,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,200,,1390.0,34.043,2.0687,8.1819,,,,,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,250,,1390.0,34.04,1.218,7.7621,,,,,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,300,,1390.0,34.0458,0.9353,7.3135,,,,,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,400,,1390.0,34.0568,0.7289,6.1757,,,,,12.0
102-07,2020-02-21 11:53:00,130.0,36.0767,500,,1390.0,34.0629,0.6045,5.4677,,,,,12.0
102-07,2020-04-19 09:14:00,130.0,36.0767,0,,1390.0,34.5514,14.852,6.6973,2.33305,0.159831,0.094572,0.692807,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,10,,1390.0,34.5509,14.8538,6.6948,,,,,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,20,,1390.0,34.5183,14.559,6.7369,2.41927,0.136179,0.082065,0.793814,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,30,,1390.0,34.4774,14.0944,6.8762,,,,,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,50,,1390.0,34.4731,13.9345,6.7766,2.73175,0.117627,0.085154,0.790386,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,75,,1390.0,34.3029,11.5819,7.2321,,,,,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,100,,1390.0,34.2628,11.2887,7.5506,3.58144,0.249475,0.171023,3.96117,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,125,,1390.0,34.2336,10.765,7.5184,,,,,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,150,,1390.0,34.1959,9.7673,7.3482,,,,,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,200,,1390.0,34.0621,2.2031,7.4144,,,,,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,250,,1390.0,34.0384,1.1308,7.8749,,,,,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,300,,1390.0,34.0453,0.9308,7.3975,,,,,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,400,,1390.0,34.0566,0.7277,6.2514,,,,,10.4
102-07,2020-04-19 09:14:00,130.0,36.0767,500,,1390.0,34.0622,0.6062,5.556,,,,,10.4
