province,city,city_code,town,latitude,longitude,시설년도,시설유형,품종,area,ORIG_FID,geometry
경상남도,거제시,31,다대리,34.73429933906516,128.63929999950017,2009,어초,미역,246889.400376,38,POINT (128.63929999950017 34.73429933906516)
경상남도,거제시,31,다포리,34.72040977273889,128.63305904552374,2009,어초,감태,191661.18337,39,POINT (128.63305904552374 34.72040977273889)
경상남도,고성군,82,당항리,35.05176063805942,128.39938262409862,2015,어초,감태,1455318.5303,40,POINT (128.39938262409862 35.05176063805942)
경상북도,영덕군,77,대진1리,36.568749981833435,129.43124998300004,2018,어초,미역,1550862.64096,41,POINT (129.43124998300004 36.568749981833435)
강원도,고성군,82,대진리,37.58534898192465,129.1106297211801,2018,어초,감태,4388212.27908,42,POINT (129.1106297211801 37.58534898192465)
인천광역시,옹친군,28,대청도,37.8019005846503,124.69235827875002,2015,어초,미역,1172081.85136,43,POINT (124.69235827875002 37.8019005846503)
제주특별자,서귀포시,13,대포동,33.23490448801135,126.43907545275488,2012,어초,감태,1106603.80551,44,POINT (126.43907545275488 33.23490448801135)
강원도,삼척시,23,덕산리,37.38125000933337,129.25624999883348,2018,어초,감태,1534642.99565,45,POINT (129.25624999883348 37.38125000933337)
경상북도,울진군,93,덕신리,36.881254151799226,129.4302623398495,2016,어초,감태,2969838.73073,46,POINT (129.4302623398495 36.881254151799226)
인천광역시,옹진군,28,덕적도1단지,37.2354501609704,126.08693603161942,2014,어초,감태,432693.003573,47,POINT (126.08693603161942 37.2354501609704)
인천광역시,옹진군,28,덕적도2단지,37.194426307701576,126.137175633673,2014,어초,감태,304540.091877,48,POINT (126.137175633673 37.194426307701576)
제주특별자,제주시,11,동귀리,33.493845651074935,126.41118300000005,2011,어초,감태,998580.33426,49,POINT (126.41118300000005 33.493845651074935)
전라남도,여수시,13,동도리,34.043749989083494,127.31875000308332,2018,어초,감태,1600042.07758,50,POINT (127.31875000308332 34.043749989083494)
부산광역시,기장군,26,동백리,35.2864421180098,129.26236739024705,2016,어초,감태,452637.120311,51,POINT (129.26236739024705 35.2864421180098)
부산광역시,남구,26,동삼동,35.064003146851746,129.09237071384644,2011,어초,감태,378870.399293,52,POINT (129.09237071384644 35.064003146851746)
제주특별자,제주시,11,두모리,33.344416349987284,126.16581664607384,2017,어초,감태,1239219.59768,53,POINT (126.16581664607384 33.344416349987284)
경상남도,통영시,22,두미도,34.69502652186918,128.17547499900013,2013,어초,감태,1883040.53184,54,POINT (128.17547499900013 34.69502652186918)
전라남도,완도군,89,모동리,34.1465713470314,126.7490583337501,2013,어초,감태,1129087.95338,55,POINT (126.7490583337501 34.1465713470314)
전라남도,완도군,89,모서리,34.20994343843506,126.75919999950008,2012,어초,감태,769414.707056,56,POINT (126.75919999950008 34.20994343843506)
충청남도,보령시,18,무창포,36.24382121258367,126.53293787877647,2010,어초,감태,1646.38116318,57,POINT (126.53293787877647 36.24382121258367)
충청남도,보령시,18,무창포_1단지,36.24539377336038,126.5254916665001,2011,어초,감태,52434.4784457,58,POINT (126.5254916665001 36.24539377336038)
충청남도,보령시,18,무창포_2단지,36.245345790822,126.53130529147131,2011,어초,감태,12915.8649891,59,POINT (126.53130529147131 36.245345790822)
강원도,고성군,82,문암1리,38.30625001241674,128.55625003291675,2019,어초,감태,1515859.90764,60,POINT (128.55625003291675 38.30625001241674)
강원도,양양군,83,물치리,38.15126950656196,128.6161938670673,2014,어초,미역,1537814.0049,61,POINT (128.6161938670673 38.15126950656196)
강원도,고성군,82,반암리,38.43859808380131,128.46414623283727,2017,어초,감태,1023948.70152,62,POINT (128.46414623283727 38.43859808380131)
경상북도,포항시,11,방어리,36.213865194034554,129.3900791665002,2014,어초,감태,1069956.09392,63,POINT (129.3900791665002 36.213865194034554)
인천광역시,옹진군,28,백령도,37.976248661442526,124.64326570252501,2017,어초,감태,614767.604739,64,POINT (124.64326570252501 37.976248661442526)
경상북도,영덕군,77,백석2리,36.6223719611441,129.41706018246168,2015,어초,미역,831591.248721,65,POINT (129.41706018246168 36.6223719611441)
제주특별자,서귀포시,13,보목동,33.23451585817048,126.60216733543666,2014,어초,감태,2458266.49203,66,POINT (126.60216733543666 33.23451585817048)
경상북도,영덕군,77,부흥리,36.29342165559535,129.38473232840624,2017,어초,감태,1701161.93598,67,POINT (129.38473232840624 36.29342165559535)
제주특별자,제주시,11,북촌리,33.558052729789665,126.6993872490001,2012,어초,감태,1823705.62272,68,POINT (126.6993872490001 33.558052729789665)
제주특별자,제주시,11,비양리,33.4159283556196,126.2214415000002,2015,어초,감태,4830076.86137,69,POINT (126.2214415000002 33.4159283556196)
제주특별자,서귀포시,13,사계리,33.212303299146924,126.30881316070395,2009,어초,감태,2014052.0634,70,POINT (126.30881316070395 33.212303299146924)
강원도,강릉시,15,사근진,37.82213366060574,128.89256887825013,2009,어초,감태,473029.390387,71,POINT (128.89256887825013 37.82213366060574)
경상남도,통영시,22,사량도,34.83712255060789,128.17601666650012,2011,어초,감태,1369952.64122,72,POINT (128.17601666650012 34.83712255060789)
인천광역시,옹진군,28,사승봉도,37.14525984938177,126.28047374610605,2015,어초,감태,530049.54265,73,POINT (126.28047374610605 37.14525984938177)
경상남도,통영시,22,사이도,34.6687499809168,128.26874997458344,2018,어초,감태,1587595.4698,74,POINT (128.26874997458344 34.6687499809168)
강원도,강릉시,15,사천리,37.84585974869549,128.87504166600013,2013,어초,감태,2314485.07504,75,POINT (128.87504166600013 37.84585974869549)
제주특별자,서귀포시,13,삼달리,33.368749992666835,126.88124998766682,2018,어초,감태,1613012.10253,76,POINT (126.88124998766682 33.368749992666835)
경상북도,영덕군,77,삼사리,36.342946928963386,129.3870370505001,2013,어초,미역,889656.49118,77,POINT (129.3870370505001 36.342946928963386)
전라남도,여수시,13,삼산_초도,34.21642226164988,127.24059777250011,2014,어초,감태,4155195.42337,78,POINT (127.24059777250011 34.21642226164988)
경상북도,포항시,11,삼정3리,36.00549231212261,129.57835612500014,2014,어초,감태,377889.422403,79,POINT (129.57835612500014 36.00549231212261)
제주특별자,서귀포시,13,상모리,33.1938969807008,126.2821525763394,2010,어초,감태,3332990.88456,80,POINT (126.2821525763394 33.1938969807008)
울산광역시,울주군,31,서생,35.35624999900023,129.35625001433345,2018,어초,미역,1574417.54843,81,POINT (129.35625001433345 35.35624999900023)
경상북도,포항시,11,석병2리,36.02589509279585,129.58304719885052,2016,어초,모자반,592634.413516,82,POINT (129.58304719885052 36.02589509279585)
제주특별자,서귀포시,13,성산리,33.46316379657202,126.94219841581764,2017,어초,감태,580486.002199,83,POINT (126.94219841581764 33.46316379657202)
제주특별자,서귀포시,13,세화리,33.30137111115698,126.81565486600005,2015,어초,감태,1284885.68184,84,POINT (126.81565486600005 33.30137111115698)
전라남도,완도군,89,소모도,34.224543937834085,126.76794101663609,2014,어초,미역,2065501.39451,85,POINT (126.76794101663609 34.224543937834085)
전라남도,여수시,13,손죽도,34.294389615450484,127.35688872883748,2017,어초,감태,1294826.38772,86,POINT (127.35688872883748 34.294389615450484)
경상남도,남해군,84,송정_금포_천하,34.71797223972675,128.01838764360195,2017,어초,모자반,1325519.04627,87,POINT (128.01838764360195 34.71797223972675)
