project_name,station,yyyy-mm-dd hh:mm:ss,유효시간,Longitude [degrees_east],Latitude [degrees_north],수심(m),수심(text),전체수심(m),염분[psu],sal_qc,수온[℃],wtrtmp_qc,용존산소[ml/L],disoxy_qc,규산염[μM],reasil_qc,아질산성질소[μM],nitnit_qc,인산염인[μM],po4p_qc,질산성질소[μM],natnit_qc,투명도[m],tr_qc
정선해양관측,102-05,2020-06-20 15:18,Minute,129.6883,36.0767,20,,210,33.3997,1,17.2294,1,7.4055,1,6.75943,1,0.02545,2,0.110735,1,1.00618,1,19,2
정선해양관측,102-05,2020-06-20 15:18,Minute,129.6883,36.0767,30,,210,33.7001,1,14.6261,1,7.0913,1,,,,,,,,,19,2
정선해양관측,102-05,2020-06-20 15:18,Minute,129.6883,36.0767,50,,210,34.3702,1,15.622,1,5.1565,1,15.7267,1,0.0132,2,0.683896,1,10.2269,1,19,2
정선해양관측,102-05,2020-06-20 15:18,Minute,129.6883,36.0767,75,,210,34.3525,1,12.3035,1,5.1439,1,,,,,,,,,19,2
정선해양관측,102-05,2020-06-20 15:18,Minute,129.6883,36.0767,100,,210,34.0659,1,3.6431,1,9.0482,1,21.8205,1,0.05915,2,1.28031,1,17.6537,1,19,2
정선해양관측,102-05,2020-08-29 14:00,Minute,129.6883,36.0767,0,,210,33.3041,1,21.3401,1,8.0779,1,10.3115,1,0.132195,2,0.235495,1,3.22228,1,8,2
정선해양관측,102-05,2020-08-29 14:00,Minute,129.6883,36.0767,10,,210,33.6877,1,17.5001,1,8.3203,1,,,,,,,,,8,2
정선해양관측,102-05,2020-08-29 14:00,Minute,129.6883,36.0767,20,,210,34.1226,1,15.5753,1,9.1882,1,20.799,1,0.657193,2,0.768943,1,13.936,1,8,2
정선해양관측,102-05,2020-08-29 14:00,Minute,129.6883,36.0767,30,,210,34.2417,1,14.9286,1,9.525,1,,,,,,,,,8,2
정선해양관측,102-05,2020-08-29 14:00,Minute,129.6883,36.0767,50,,210,34.3058,1,12.5842,1,10.7632,1,20.6793,1,0.16909,2,0.92209,1,15.2772,1,8,2
정선해양관측,102-05,2020-08-29 14:00,Minute,129.6883,36.0767,75,,210,34.1225,1,7.3335,1,12.0132,1,,,,,,,,,8,2
정선해양관측,102-05,2020-08-29 14:00,Minute,129.6883,36.0767,100,,210,34.0696,1,5.4178,1,11.2066,1,22.0631,1,0.056388,2,1.02634,1,17.2269,1,8,2
정선해양관측,102-05,2020-08-29 14:00,Minute,129.6883,36.0767,125,,210,34.0439,1,3.6964,1,11.0508,1,,,,,,,,,8,2
정선해양관측,102-05,2020-08-29 14:00,Minute,129.6883,36.0767,150,,210,34.0381,1,3.4603,1,11.5445,1,,,,,,,,,8,2
정선해양관측,102-05,2020-10-28 15:01,Minute,129.6883,36.0767,0,,210,32.4339,1,19.4679,1,5.3332,1,8.09626,1,0.238733,2,0.113905,1,2.46241,1,6,2
정선해양관측,102-05,2020-10-28 15:01,Minute,129.6883,36.0767,10,,210,32.5262,1,19.3841,1,5.3218,1,,,,,,,,,6,2
정선해양관측,102-05,2020-10-28 15:01,Minute,129.6883,36.0767,20,,210,32.7834,1,19.2851,1,4.8164,1,13.9101,1,0.7878,2,0.515779,1,7.35084,1,6,2
정선해양관측,102-05,2020-10-28 15:01,Minute,129.6883,36.0767,30,,210,33.5637,1,18.2485,1,3.696,1,,,,,,,,,6,2
정선해양관측,102-05,2020-10-28 15:01,Minute,129.6883,36.0767,50,,210,34.3716,1,14.3654,1,3.2037,1,23.2204,1,0.153367,2,1.15035,1,15.0216,1,6,2
정선해양관측,102-05,2020-10-28 15:01,Minute,129.6883,36.0767,75,,210,34.0705,1,6.8439,1,5.3332,1,,,,,,,,,6,2
정선해양관측,102-05,2020-10-28 15:01,Minute,129.6883,36.0767,100,,210,34.0268,1,4.9803,1,5.4118,1,18.8057,1,0.040233,2,1.13723,1,14.6497,1,6,2
정선해양관측,102-05,2020-12-10 14:15,Minute,129.6883,36.0767,0,,210,34.1117,1,16.1204,1,5.0222,1,,,,,,,,,11,2
정선해양관측,102-05,2020-12-10 14:15,Minute,129.6883,36.0767,10,,210,34.0921,1,16.0186,1,4.9747,1,,,,,,,,,11,2
정선해양관측,102-05,2020-12-10 14:15,Minute,129.6883,36.0767,20,,210,34.0491,1,15.7892,1,4.8939,1,,,,,,,,,11,2
정선해양관측,102-05,2020-12-10 14:15,Minute,129.6883,36.0767,30,,210,34.044,1,15.7363,1,4.8013,1,,,,,,,,,11,2
정선해양관측,102-05,2020-12-10 14:15,Minute,129.6883,36.0767,50,,210,34.4477,1,15.3271,1,3.2359,1,,,,,,,,,11,2
정선해양관측,102-05,2020-12-10 14:15,Minute,129.6883,36.0767,75,,210,34.1254,1,6.007,1,4.3689,1,,,,,,,,,11,2
정선해양관측,102-05,2020-12-10 14:15,Minute,129.6883,36.0767,100,,210,34.053,1,3.4419,1,4.9492,1,,,,,,,,,11,2
정선해양관측,102-05,2020-12-10 14:15,Minute,129.6883,36.0767,125,,210,34.0362,1,1.8379,1,5.1827,1,,,,,,,,,11,2
정선해양관측,102-05,2020-12-10 14:15,Minute,129.6883,36.0767,150,,210,34.0381,1,1.2422,1,5.3334,1,,,,,,,,,11,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,0,,700,34.1725,1,11.9002,1,7.1244,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,10,,700,34.1725,1,11.8983,1,7.1398,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,20,,700,34.1587,1,11.7967,1,7.1299,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,30,,700,34.157,1,11.7881,1,7.11,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,50,,700,34.1569,1,11.7858,1,7.0474,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,75,,700,34.1562,1,11.7807,1,7.0374,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,100,,700,34.1472,1,10.3072,1,6.8813,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,125,,700,34.2093,1,7.5307,1,6.6083,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,150,,700,34.0956,1,4.1856,1,7.4717,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,200,,700,34.0438,1,1.5793,1,7.9469,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,250,,700,34.0346,1,1.0552,1,8.0265,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,300,,700,34.0425,1,0.8361,1,7.6372,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,400,,700,34.053,1,0.7078,1,6.4835,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-02-21 13:14,Minute,129.7967,36.0767,500,,700,34.0607,1,0.6151,1,5.5552,1,,,,,,,,,11.3,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,0,,700,34.5426,1,15.4974,1,6.5416,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,10,,700,34.5385,1,15.496,1,6.5734,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,20,,700,34.5385,1,15.502,1,6.5831,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,30,,700,34.5384,1,15.5046,1,6.5943,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,50,,700,34.5176,1,15.2838,1,6.6313,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,75,,700,34.4896,1,14.7814,1,6.3595,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,100,,700,34.4406,1,12.5348,1,6.2024,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,125,,700,34.2355,1,6.5828,1,6.1601,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,150,,700,34.0872,1,2.8704,1,7.2635,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,200,,700,34.0311,1,1.2527,1,7.8144,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,250,,700,34.0352,1,1.035,1,7.9335,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,300,,700,34.0403,1,0.9262,1,7.6137,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,400,,700,34.0483,1,0.7948,1,6.6738,1,,,,,,,,,14,2
정선해양관측,102-06,2020-04-19 7:34,Minute,129.7967,36.0767,500,,700,34.0541,1,0.7235,1,5.9856,1,,,,,,,,,14,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,0,,700,33.0863,1,19.6634,1,6.8635,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,10,,700,33.1935,1,18.7001,1,6.9812,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,20,,700,33.5889,1,14.7075,1,7.3673,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,30,,700,34.1684,1,15.5809,1,5.6191,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,50,,700,34.3438,1,15.4732,1,5.0527,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,75,,700,34.4092,1,15.2425,1,5.3026,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,100,,700,34.2793,1,10.3907,1,6.4804,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,125,,700,34.2063,1,6.7247,1,6.8431,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,150,,700,34.0624,1,2.8889,1,8.2463,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,200,,700,34.0292,1,1.6407,1,8.7054,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,250,,700,34.0293,1,1.1108,1,8.3351,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,300,,700,34.0396,1,0.9595,1,7.4286,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,400,,700,34.0524,1,0.7765,1,6.1056,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-06-18 9:05,Minute,129.7967,36.0767,500,,700,34.0604,1,0.6409,1,5.5699,1,,,,,,,,,9.2,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,0,,700,32.9352,1,23.5446,1,7.9632,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,10,,700,33.6617,1,21.9289,1,8.7956,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,20,,700,34.0581,1,16.2946,1,9.0419,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,30,,700,34.3429,1,16.2418,1,9.3281,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,50,,700,34.2877,1,12.9417,1,11.2948,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,75,,700,34.129,1,8.0945,1,12.984,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,100,,700,34.0416,1,4.6208,1,12.211,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,125,,700,34.0242,1,2.4293,1,12.7956,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,150,,700,34.0151,1,1.736,1,13.6502,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,200,,700,34.0234,1,1.0525,1,13.4994,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,250,,700,34.0271,1,0.9649,1,13.2613,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,300,,700,34.0294,1,0.8938,1,13.1975,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,400,,700,34.0378,1,0.7761,1,13.8515,1,,,,,,,,,11,2
정선해양관측,102-06,2020-08-29 13:00,Minute,129.7967,36.0767,500,,700,34.0448,1,0.6644,1,13.2348,1,,,,,,,,,11,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,0,,700,32.3253,1,20.1169,1,5.2543,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,10,,700,32.3326,1,20.0898,1,5.2237,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,20,,700,32.6852,1,20.3072,1,5.2655,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,30,,700,33.8946,1,17.5548,1,3.3722,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,50,,700,34.4229,1,15.4379,1,3.3583,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,75,,700,34.1705,1,8.5971,1,4.4012,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,100,,700,34.0788,1,4.5054,1,4.9714,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,125,,700,34.0221,1,2.4758,1,5.5818,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,150,,700,34.0297,1,1.6678,1,5.7667,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,200,,700,34.0399,1,1.2127,1,5.81,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,250,,700,34.0483,1,0.9844,1,5.6562,1,,,,,,,,,9,2
정선해양관측,102-06,2020-10-28 14:03,Minute,129.7967,36.0767,300,,700,34.0531,1,0.8845,1,5.567,1,,,,,,,,,9,2
